Title,Score,Vote,Popularity,Members,Favorite,Status,Demographics
Chiyu Mahou no Machigatta Tsukaikata: Senjou wo Kakeru Kaifuku Youin (The Wrong Way to Use Healing Magic),7.32,6919,780,22418,159,Publishing,[]
Shin Kirari (Talk to My Back),7.32,102,25975,353,5,Finished,[]
Boku no Gemini (My Gemini),7.32,189,21706,506,10,Finished,[Shoujo]
Back to You,7.32,733,9418,1819,24,Finished,[]
Sakura wa Watashi wo Sukisugiru (SakuraS Dedication),7.32,270,10313,1619,5,Publishing,[]
Master Villainess the Invincible!,7.32,621,7992,2242,15,Publishing,[]
Relationship Guidelines,7.32,522,11870,1323,22,Finished,[]
Returning With Absolutely Nothing,7.32,1246,5065,3801,17,Publishing,[]
"Hodoite, Musunde",7.32,393,9623,1767,3,Publishing,[]
Countrouble,7.32,6851,1273,14710,103,Finished,[Shounen]
Kaitai Shinsho Ã˜,7.32,1631,4295,4541,24,Finished,[Shounen]
Kimi ga Uso wo Tsuita (You told a lie.),7.32,3798,2813,7042,31,Finished,[Shoujo]
Tenchi Shinmei!,7.32,676,7382,2472,9,Finished,[Shoujo]
SKET Dance,7.32,1289,7365,2480,146,Finished,[Shounen]
Jigoku Shoujo R,7.32,365,11564,1376,12,Finished,[Shoujo]
Hokusai,7.32,328,15378,911,10,Finished,[]
IS:  (Infinite Stratos),7.32,1173,3826,5192,46,Publishing,[]
Strike Witches Zero: 1937 Fusou Kaijihen (Strike Witches: 1937 Fuso Sea Incident),7.32,292,15286,921,17,Finished,[Seinen]
Inochi,7.32,903,8101,2210,15,Finished,[Shoujo]
Hana ni Kedamono,7.32,1036,4778,4044,17,Finished,[Shoujo]
Usotsuki Lily 0,7.32,958,8699,2009,7,Finished,[Shoujo]
Kimi to Boku no Ashiato: Time Travel Kasuga Kenkyuusho,7.32,186,15581,892,5,Finished,[Seinen]
Itsuka Tenma no Kuro Usagi,7.32,308,9419,1819,20,Finished,[Shounen]
Sabaki no Mon,7.32,1371,7573,2395,7,Finished,[Shoujo]
TiG-HuG Planet,7.32,2875,3424,5836,17,Finished,[Shoujo]
In The Chocolate,7.32,684,11250,1430,3,Finished,[Shoujo]
Sugar Dark: Umerareta Yami to Shoujo,7.32,336,13602,1097,9,Finished,[]
Cocoon,7.32,845,6268,2993,18,Finished,[Josei]
Wasureyuki,7.32,2443,4636,4186,17,Finished,[Shoujo]
Girls & Panzer: Little Army (Girls and Panzer: Little Army),7.32,1472,5995,3139,52,Finished,[Seinen]
Abide in the Wind,7.32,1192,3960,5009,55,Finished,[]
Hinatama,7.32,1596,5339,3578,23,Finished,[Shoujo]
Latin,7.32,634,9895,1714,14,Finished,[]
Kimi ni Koishite Ii desu ka. (May I be in love with you?),7.32,5289,1431,13343,43,Finished,[Shoujo]
Marin to Yuurei,7.32,747,9471,1803,1,Finished,[Shoujo]
Shuuten Unknown,7.32,180,20449,564,5,Finished,[Josei]
Hadi Girl,7.32,5460,1561,12457,131,Finished,[]
Tantei Xeno to Nanatsu no Satsujin Misshitsu (Detective Xeno and the Seven Locked Murder Rooms),7.32,403,10157,1653,10,Finished,[Shounen]
Super Danganronpa 2: Sayonara Zetsubou Gakuen (Danganronpa 2: Goodbye Despair),7.32,423,11345,1413,14,On Hiatus,[]
Liv,7.32,2529,4420,4405,75,Finished,[]
Amakunai Karera no Nichijou wa. (Those Not-So-Sweet Boys),7.32,1182,4474,4355,56,Finished,[Shoujo]
Guyabano Holiday,7.32,164,22921,454,5,Finished,[Josei]
Hataraku Saibou Baby (Cells at Work: Baby!),7.32,209,13522,1105,10,Finished,[Seinen]
Spectral Wizard,7.32,257,18196,692,21,Finished,[]
"Food Court de, Mata Ashita. (See You Tomorrow at the Food Court)",7.32,695,6822,2715,25,Publishing,[]
Ame demo Hare demo (Come Rain or Shine),7.32,1030,6888,2686,25,Finished,[]
Romantic Killer,7.32,1127,3229,6176,84,Finished,[Shounen]
Goukaku no Tame no! Yasashii Sankaku Kankei Nyuumon (An Introduction to Easy Triangle Relationships.),7.32,1626,5464,3494,40,Finished,[Seinen]
Warui ga Watashi wa Yuri ja Nai,7.32,780,6655,2804,39,Publishing,[]
Seikyouiku 120% (Sex Ed 120%),7.32,393,10827,1510,16,Finished,[]
Magicraft Meister,7.32,246,13334,1127,7,Publishing,[]
